GW_CSA_AAA,Strengthened Security Patrol 
TEXT_TOOLTIP_VISCOUNT_WEAP4,20x Light Quad Laser Cannons: 2 / 0.8s / 5.8km
TEXT_TOOLTIP_VISCOUNT_WEAP5,10x Assault Concussion Missiles: 2 / 1.2s / 9.3km
TEXT_TOOLTIP_VISVIA,Combining Chiss and Imperial technology, the Visvia was designed by the Empire of the Hand at the urging of Voss Parck in anticipation of the impending Yuuzhan Vong invasion.
TEXT_TOOLTIP_VISVIA_HULL,Hull: 15000 (Capital)
TEXT_TOOLTIP_VISVIA_SHIELD,Shields: 11000 / [82.5/R] (Capital)
TEXT_TOOLTIP_VISVIA_SQUADRON,Fighters: 1 / 1 | Corvettes: 3 / 3
TEXT_TOOLTIP_VISVIA_UPGRADE,Upgrade Golan Two to a Visvia. This upgrade will change the available roster of ships. Upgrading will restore any destroyed hardpoints, but they will need to be repaired.
TEXT_TOOLTIP_VISVIA_WEAP1,4x Super Megamasers (AOE): 1 / 15.0s / 10.4km
TEXT_TOOLTIP_VISVIA_WEAP2,4x Medium Megamasers: 2 / 2.0s / 7.4km
TEXT_TOOLTIP_VISVIA_WEAP3,4x Medium Ion Cannons: 2 / 4.0s / 7.4km
TEXT_TOOLTIP_VIT,Vit was a high-level Army officer who claimed to have direct connections to the Moff Council. Working under Sigit Ranth in search of an ancient superweapon known as the Infinity Gate on Dathomir, Vit would be left in charge of the planets occupation when the search proved fruitless. Vit then formulated Project Nightsaber, a plot to recruit Nightsisters from Dathomir for the Empire as Dark Jedi. Attempting to recruit Force sensitive beings to assist Nightsaber, he would attempt to recruit Jedi Praxeum student Dal Konur, before his plot was foiled by Kir Kanos and members of the New Republic.
TEXT_TOOLTIP_VOL_NOORR,Vol Noorr served as the Primate of the Purity, the vessel that destroyed the Astrolabe. He was stationed at Doornik-1142, guarding a Type II orbital repair yard, when he encountered the Astrolabe, disabled it with accurate gunnery, then used the ship's superb communications equipment to transmit the details of the attack to Nil Spaar on Coruscant.
TEXT_TOOLTIP_VOOTA,Tho Voota was the Proctor of Defense and the Primate of the Immobilizer 418 cruiser Splendor of Yevetha. He managed to capture General Han Solo and brought him before Nil Spaar.
TEXT_TOOLTIP_VOR_DUULL,Vor Duull was Nil Spaar's Proctor of Information Science
TEXT_TOOLTIP_VORREL,Known as a no-nonsense general, Vorrel was a veteran of many battles against the Rebel Alliance and commanded from his personal AT-AT, Emperor's Titan. Vorrel led the Imperial assault on Arda I's Rebel base, with the battle being extremely bloody for both sides as the Rebels desperately bought time for their companions to evacuate while the Imperials pushed through the deadly terrain. Vorrel would also sustain heavy infantry losses when the Rebel base self-destructed with a large contingent of sandtroopers still inside.
TEXT_TOOLTIP_VORRU,A Corellian politician and Black Sun gangster, Moff Vorru was framed by Prince Xizor and served a sentence in the spice mines of Kessel. He was freed by the New Republic as part of their plan to retake Coruscant. He betrayed them and joined forces with Ysanne Isard, serving as the Thyferran Minister of Trade. Ruthless and callous, Vorru considered himself to have once been Palpatine's political rival. Always smiling, he presented himself as a kindly old gentleman, but could turn in a heartbeat, viciously striking those who displeased him.
TEXT_TOOLTIP_VOSS_PARCK,When Thrawn emerged from the Unknown Regions in 9 ABY, he promoted Parck to Admiral and commander of Thrawn's Chiss force. This force formed the core of a shadow empire created by Thrawn known as the Empire of the Hand. For nearly twenty years, Parck, assisted by his Chiss aide-de-camp Stent, oversaw the expansion of Thrawn's empire through loyal Chiss forces.
TEXT_TOOLTIP_VOSS_PARCK_UPGRADE,Upgrade: Chaf Star Destroyer [Requires Thrawn leaving the Hand]
TEXT_TOOLTIP_VOTA,Imperial General and member of COMPNOR who was compatriots with Ennix Devian during their mutual time in the organization. Vota assisted Devian in setting up a storehouse of obsolescent weapons and ships on the planetoid RZ7-6113-23 prior to Endor, and became one of the leading officers of Devian's warlord group the Kaarenth Dissension during the Empire's breakdown.
TEXT_TOOLTIP_VPO_ARTILLERY,Heavy energy cannon artillery used by the Empire of the Hand as a siege weapon in the pacification of hostile territory in the Unknown Regions.
TEXT_TOOLTIP_VPO_ARTILLERY_COMPANY,Company: 1x V-PO-Artillery
TEXT_TOOLTIP_VPO_ARTILLERY_HEALTH,Health: 100 (Heavy Vehicle)
TEXT_TOOLTIP_VPO_ARTILLERY_MOVE,Speed: 1.0 | Turn: 1.0
TEXT_TOOLTIP_VPO_ARTILLERY_WEAP1,1x Artillery Cannon: 1 / 8.33s / 1440m
TEXT_TOOLTIP_VPOAV,The main battle tank of the Empire of the Hand's Phalanx ground forces, the V-PO-AV is a slow but intimidating presence on the battlefield. Its sole primary cannon decimates nearly all armored units encountered that the Hand's Phalanx forces can face in the Unknown Regions. It is best performing when escorted by a screen of infantry or light vehicles to ensure it is not vulnerable to being flanked or outmaneuvered.
TEXT_TOOLTIP_VPOAV_COMPANY,Company: 2x V-PO-AV
TEXT_TOOLTIP_VPOAV_HEALTH,Health: 500 (Heavy Vehicle)
TEXT_TOOLTIP_VPOAV_MOVE,Speed: 1.5 | Turn: 2.0
TEXT_TOOLTIP_VPOAV_WEAP1,1x Super Heavy AV Blaster Cannon: 1 / 2.0s / 320m
TEXT_TOOLTIP_VT49_DECIMATOR,A small KDY warship and transport often used for picket and recon duty. Being in command of a Decimator was often an honour for lower-ranked naval officers, and those who survived would often see a promotion soon.
TEXT_TOOLTIP_VT49_DECIMATOR_GROUP,Group: 20x VT-49 Decimator
TEXT_TOOLTIP_VT49_DECIMATOR_HULL,Hull: 125 (Gunship)
TEXT_TOOLTIP_VT49_DECIMATOR_MOVE,Speed: 7.0 | Accel: 0.3 | Turn: 3.0
TEXT_TOOLTIP_VT49_DECIMATOR_SHIELD,Shields: 125 / [3.12/R] (Gunship)
TEXT_TOOLTIP_VT49_DECIMATOR_SQUADRON,Squadron: 4x VT-49 Decimator
TEXT_TOOLTIP_VT49_DECIMATOR_WEAP1,2x Fighter Laser Cannons: 4 / 1.0s / 2.0km
TEXT_TOOLTIP_VT49_DECIMATOR_WEAP2,1x Light Concussion Missile: 2 / 15.0s / 3.0km
TEXT_TOOLTIP_VYNDER,An Imperial pilot known for her pragmatism and ability to survive in the heat of battle. Her post was with Rho Squadron, known for their proficient use of the Xg-1 and Os-1 loadout of the Alpha-class Star Wing that instilled terror in the Rebellion whenever they were on the field. Rho Squadron would fight against Grand Admiral Zaarin's insurrection in 3 ABY, and due to her performance during the coup Vynder would take the role of Rho Leader.
TEXT_TOOLTIP_WALERAN,Waleran was a lieutenant aboard the ISD-II Interrogator, whose easy-going nature and good looks inspired high-quality work from the men under him. As a family man Waleran viewed crew relations from a familial perspective, seeing his idol Captain Vharing as a father figure and his rival Leeds as an elder brother. But both men would be executed by High Inquisitor Tremayne from a mistaken bombardment ordered by Leeds, shoving Waleran upward in rank. Now leading from Interrogator's bridge, Waleran cannot help but feel the grim fate of its previous captains looming over him.
TEXT_TOOLTIP_WARLORD,The Warlord Heavy Cruiser is a small anti-fighter corvette employed by a variety of criminal groups throughout the Galactic Civil War, including the Black Sun and Hutt Kajidics. The Void Wings and Hidden Daggers flew these alongside Rihkxyrks and Dunelizard fighters.
TEXT_TOOLTIP_WARLORD_HULL,Hull: 650 (Corvette)
TEXT_TOOLTIP_WARLORD_MOVE,Speed: 5.6 | Accel: 0.25 | Turn: 0.6
TEXT_TOOLTIP_WARLORD_PD,Point-Defense: 1 / 0.47s / 1.5km
TEXT_TOOLTIP_WARLORD_SHIELD,Shields: 550 / [11/R] (Corvette)
TEXT_TOOLTIP_WARLORD_WEAP1,4x Heavy Dual Rapid Laser Cannons: 6 / 5.0s / 4.0km
TEXT_TOOLTIP_WARRIOR_GUNSHIP,The counterpart to the Agave's picket role, the Warrior is designed to engage larger ships in packs with its heavy armament of turbolasers and token missiles, while possessing some self-protection capability.
TEXT_TOOLTIP_WARRIOR_GUNSHIP_HULL,Hull: 650 (Corvette)
TEXT_TOOLTIP_WARRIOR_GUNSHIP_MOVE,Speed: 7.0 | Accel: 0.3 | Turn: 0.65
TEXT_TOOLTIP_WARRIOR_GUNSHIP_PD,Point-Defense: 1 / 1.25s / 1.5km
TEXT_TOOLTIP_WARRIOR_GUNSHIP_SHIELD,Shields: 600 / [12/R] (Corvette)
TEXT_TOOLTIP_WARRIOR_GUNSHIP_WEAP1,2x Light Turbolasers: 2 / 2.0s / 5.1km
TEXT_TOOLTIP_WARRIOR_GUNSHIP_WEAP2,1x Medium Dual Laser Cannon: 2 / 5.0s / 4.0km
TEXT_TOOLTIP_WARRIOR_GUNSHIP_WEAP3,2x Medium Laser Cannons: 2 / 1.67s / 4.0km
TEXT_TOOLTIP_WARRIOR_GUNSHIP_WEAP4,2x Assault Concussion Missiles: 2 / 150.0s / 7.0km
TEXT_TOOLTIP_WARRIOR_GUNSHIP_WEAP5,1x Slugthrower Octet: 8 / 2.5s / 3.0km
TEXT_TOOLTIP_WATCHMAN,Watchman is a member of the elite Empire of the Hand stormtrooper squad, Aurek-Seven. He participated in the liberation of Kariek and the Battle of the Redoubt.
TEXT_TOOLTIP_WATER_DRAGON,The Water Dragon was originally a luxury transport meant for moving VIPs that require high levels of security. Impressed by the levels of protection and weaponry this vehicle provided, The Royal Army was ordered by the members of nobility to convert the design for military work. The conversion work saw the reduction of the luxury provided internally and a downgrade of the expensive defensive systems demanded by the nobility to more affordable mass produced systems. Some luxury however was maintained to cater for the officer in charge of the vehicle.
TEXT_TOOLTIP_WATER_DRAGON_COMPANY,Company: 3x Water Dragon-M Hovertank
TEXT_TOOLTIP_WATER_DRAGON_HEALTH,Health: 125 (Light Vehicle)
TEXT_TOOLTIP_WATER_DRAGON_MOVE,Speed: 2.5 | Turn: 3.0 
TEXT_TOOLTIP_WATER_DRAGON_SHIELD,Shields: 100 / [5/R] (Light Vehicle)
TEXT_TOOLTIP_WATER_DRAGON_WEAP1,2x AI Blaster Cannons (AOE): 3 / 1.0s / 320m
TEXT_TOOLTIP_WATER_DRAGON_WEAP2,2x Light AI Blaster Cannons: 4 / 1.0s / 240m
TEXT_TOOLTIP_WATER_DRAGON_WEAP3,1x Ion Cannon: 2 / 2.0s / 320m
TEXT_TOOLTIP_WEDGE_ANTILLES,After the victory of the Rebellion over the Galactic Empire at Endor, Wedge quickly advanced through the ranks of the growing New Republic navy. He is a skilled fighter pilot and an innovative commander.
TEXT_TOOLTIP_WEDGE_ANTILLES_REQUIEM,Wedge was promoted to the rank of General following the Thrawn campaign, although he was allowed to retain direct command of Rogue Squadron. After being ambushed at the Battle of Distna, Rogue Squadron flew TIE Defenders in their campaign against Delak Krennel and Ysanne Isard's clone.
TEXT_TOOLTIP_WEIR,Weir was an Imperial general during the Galactic Civil War. A sadistic warrior who conducted his own torturous interrogations, Weir was given command of an Imperial outpost on Tralus and a force of hundreds of stormtroopers prior to the Battle of Endor. Following the death of Emperor Palpatine, Weir started his own counter-Rebellion movement in an attempt to disrupt the Rebel Alliance.
TEXT_TOOLTIP_WEIR_HEALTH,Health: 180 (Hero)
TEXT_TOOLTIP_WEIR_MOVE,Speed: 1.2
TEXT_TOOLTIP_WEIR_SHIELD,Shields: 50 / [5/R] (Infantry)
TEXT_TOOLTIP_WEIR_WEAP1,1x E11 Blaster Carbine: 3 / 1.25s / 220m
TEXT_TOOLTIP_WEIR_WEAP2,1x E-Attach Rocket Launcher: 1 / 10.0s / 320m
TEXT_TOOLTIP_WELLAM,Captain of the Interdictor Class Star Destroyer, Eternal Wrath, Wellam Adarios was stationed around the Imperial world of Ord Radama as part of its significant garrison. He was unfortunate that his patrol path missed the inbound Rebel cell attempting to rescue the captured senior Rebel Setenna Hase in the aftermath of the nearby Battle of the Gauntlet.
TEXT_TOOLTIP_WEPLINN,Weplinn was the Assistant-Deputy Viceprex of Security while Star's End was built, and handled the initial communiqués with the Empire about the joint project. After the disaster at the prison which claimed Viceprex Hirken's life, Weplinn took his place as head of all CSA paramilitary and prison operations. Weplinn brushed off claims it was a terrorist attack and was eager to continue the development of similar facilities.
TEXT_TOOLTIP_WERMIS,Imperial admiral in charge of the defence of the Anaxes system. Wermis was able to hold against repeated New Republic incursions until being betrayed by Kiez who mysteriously disappeared. Seeing his task as now futile, Wermis would surrender to the New Republic to save lives.
TEXT_TOOLTIP_WHISPER,Whisper was a soft-spoken pilot in the Imperial Navy who flew one of the rare TIE Phantoms in service. She became known as an expert in handling the stealth fighter, able to confound enemy fighters through use of the Phantom's cloaking array to slay them.
TEXT_TOOLTIP_WHYRRRYK,The first Nebula-class Star Destroyer, named after one of the Rebellion's heroes, was given to the Wookiee captain Whyrrryk. She was a capable officer with education in military tactics, starship operations, and diplomacy.
TEXT_TOOLTIP_WILD_KARRDE_HULL,Hull: 1200 (Corvette)
TEXT_TOOLTIP_WILD_KARRDE_MOVE,Speed: 6.0 | Accel: 0.05 | Turn: 0.6
TEXT_TOOLTIP_WILD_KARRDE_SHIELD,Shields: 1000 / [100/R] (Frigate)
TEXT_TOOLTIP_WILD_KARRDE_WEAP1,3x Medium Turbolasers: 1 / 5.0s / 6.0km
TEXT_TOOLTIP_WINDCALLER,Known by her peers as a manipulative schemer, Mahd Windcaller is the head of a large news agency, and has been an ardent supporter of the Galactic Empire since its inception. Her news agency serves as a source of intelligence for the Empire, which allowed her the opportunity to sit on the Interim Ruling Council. She was fairly open-minded and had made friends with many of the non-humans that sat on the council with her.
TEXT_TOOLTIP_WINDLE,Windle Meeker was a Corporate Sector procurement officer. He would place a large order of Corellian cargo ships for the Bonadan mining facilities, but would be irritated at only being able to buy from Corellia, and would complain about being forced to go through the Diktat's office as a bottleneck for the order. A pair of carrion spats would accompany Meeker on his travels as his pets.
TEXT_TOOLTIP_WORHVEN,Worhven was an Imperial captain operating near Lianna. He performed the initial tests of the NOVA project's cloaking devices.
TEXT_TOOLTIP_WORLD_DEVASTATOR_BATTLECRUISER,A World Devastator is a semi-autonomous mobile factory used by the Dark Empire. It can devour entire planets and process their raw materials into upgrades for itself, other weapons of war, or even new World Devastators. World Devastator Battlecruisers have gorged themselves on banquets of fleets and planets and have grown to immense proportions. These monstrosities are capable of immense damage to any foe.
TEXT_TOOLTIP_WORLD_DEVASTATOR_BATTLECRUISER_HULL,Hull: 38800 (Capital)
TEXT_TOOLTIP_WORLD_DEVASTATOR_BATTLECRUISER_MOVE,Speed: 2.8 | Accel: 0.1 | Turn: 0.175
TEXT_TOOLTIP_WORLD_DEVASTATOR_BATTLECRUISER_SHIELD,Shields: 38000 / [95/R] (Capital)
TEXT_TOOLTIP_WORLD_DEVASTATOR_BATTLECRUISER_SQUADRON,Fighters: 8 / 4 | Bombers: 4 / 4
TEXT_TOOLTIP_WORLD_DEVASTATOR_BATTLECRUISER_WEAP1,16x Heavy Turbolasers: 2 / 1.28s / 7.7km
TEXT_TOOLTIP_WORLD_DEVASTATOR_BATTLECRUISER_WEAP2,2x Heavy Ion Cannons: 2 / 1.33s / 7.7km
TEXT_TOOLTIP_WORLD_DEVASTATOR_BATTLECRUISER_WEAP3,16x Medium Laser Cannons: 2 / 0.4s / 4.7km
TEXT_TOOLTIP_WORLD_DEVASTATOR_BATTLECRUISER_WEAP4,4x Proton Torpedoes: 10 / 20.0s / 5.7km
TEXT_TOOLTIP_WORLD_DEVASTATOR_BATTLECRUISER_WEAP5,4x Assault Concussion Missiles: 10 / 20.0s / 7.7km
TEXT_TOOLTIP_WORLD_DEVASTATOR_DESTROYER,A World Devastator is a semi-autonomous mobile factory used by the Dark Empire. It can devour entire planets and process their raw materials into war materiel, upgrades for itself, or even new World Devastators. World Devastator Destroyers have feasted on the matter of enemies and allies alike, growing in size and power over the frigates.
TEXT_TOOLTIP_WORLD_DEVASTATOR_DESTROYER_HULL,Hull: 12000 (Capital)
TEXT_TOOLTIP_WORLD_DEVASTATOR_DESTROYER_MOVE,Speed: 3.15 | Accel: 0.125 | Turn: 0.175
TEXT_TOOLTIP_WORLD_DEVASTATOR_DESTROYER_SHIELD,Shields: 14000 / [70/R] (Capital)
TEXT_TOOLTIP_WORLD_DEVASTATOR_DESTROYER_SQUADRON,Fighters: 4 / 2 | Bombers: 2 / 2
TEXT_TOOLTIP_WORLD_DEVASTATOR_DESTROYER_WEAP1,8x Heavy Turbolasers: 2 / 1.0s / 7.3km
TEXT_TOOLTIP_WORLD_DEVASTATOR_DESTROYER_WEAP2,8x Medium Laser Cannons: 2 / 0.5s / 4.3km
TEXT_TOOLTIP_WORLD_DEVASTATOR_DESTROYER_WEAP3,2x Proton Torpedoes: 10 / 20.0s / 5.3km
TEXT_TOOLTIP_WORLD_DEVASTATOR_DESTROYER_WEAP4,1x Assault Concussion Missile: 10 / 20.0s / 7.3km
TEXT_TOOLTIP_WORLD_DEVASTATOR_FRIGATE,A World Devastator is a semi-autonomous mobile factory used by the Dark Empire. It can devour entire planets and process their raw materials into war materiel, upgrades for itself, or even new World Devastators. World Devastator Frigates are newly launched and have not yet sampled the delicacies of hostile starships or planets.
TEXT_TOOLTIP_WORLD_DEVASTATOR_FRIGATE_HULL,Hull: 2880 (Heavy Frigate)
TEXT_TOOLTIP_WORLD_DEVASTATOR_FRIGATE_MOVE,Speed: 3.5 | Accel: 0.15 | Turn: 0.25
TEXT_TOOLTIP_WORLD_DEVASTATOR_FRIGATE_SHIELD,Shields: 3000 / [30/R] (Frigate)
TEXT_TOOLTIP_WORLD_DEVASTATOR_FRIGATE_WEAP1,4x Heavy Turbolasers: 2 / 2.0s / 7.1km
TEXT_TOOLTIP_WORLD_DEVASTATOR_FRIGATE_WEAP2,2x Medium Laser Cannons: 2 / 0.5s / 4.1km
TEXT_TOOLTIP_WORLD_DEVASTATOR_FRIGATE_WEAP3,1x Proton Torpedo: 5 / 10.0s / 5.1km
TEXT_TOOLTIP_WORLD_DEVASTATOR_PRODUCTION_1,TIE Droid Production: 10 / ∞
TEXT_TOOLTIP_WORLD_DEVASTATOR_PRODUCTION_2,TIE Droid Production: 10 / ∞
TEXT_TOOLTIP_WORLD_DEVASTATOR_PRODUCTION_3,TIE Droid Production: 8 / ∞
TEXT_TOOLTIP_WORLD_DEVASTATOR_PRODUCTION_4,Collector: Grants credits for destroyed enemy units
TEXT_TOOLTIP_WRAITH_SQUADRON,Specialists in intelligence operations and subterfuge, Wraith Squadron is the brainchild of Wedge Antilles. Many members of the squadron are elite commandos and solid pilots, capable of performing high risk special operations wherever the New Republic needs them.
TEXT_TOOLTIP_WURRIF,A small cruiser designed for escort duty, well equipped with ion cannons to disable targets.
TEXT_TOOLTIP_WURRIF_HULL,Hull: 1800 (Frigate)
TEXT_TOOLTIP_WURRIF_MOVE,Speed: 4.9 | Accel: 0.2 | Turn: 0.4
TEXT_TOOLTIP_WURRIF_SHIELD,Shields: 2200 / [33/R] (Frigate)
TEXT_TOOLTIP_WURRIF_SQUADRON,Fighters: 2 / 6
TEXT_TOOLTIP_WURRIF_WEAP1,1x Heavy Turbolaser: 2 / 1.67s / 7.1km
TEXT_TOOLTIP_WURRIF_WEAP2,4x Heavy Ion Cannons: 2 / 1.67s / 7.1km
TEXT_TOOLTIP_X_CEPTOR,The X-Ceptor was a type of 'Ugly' starfighter, made with the Solar panel components of the TIE Interceptor, attached to the fuselage of the X-wing fighter, by retaining the engines of the X-wing, the X-Ceptor has limited hyperspace potential, and sublight speed.
TEXT_TOOLTIP_X_TIE,The X-TIE Fighter was an 'Ugly' starfighter made out of the cannibalized parts of a T-65 X-wing starfighter and a TIE/LN starfighter. The ship consisted of an X-wing fuselage and engines, and solar panels from a TIE Fighter.
TEXT_TOOLTIP_X_WING,An iconic and well-rounded snubfighter. Originally developed for Imperial-affiliated local forces by Incom, the prototypes and first production run were acquired by the Rebel Alliance when the entire production team defected. It has spawned many variants and upgrades and continues to see service in New Republic forces. It is well suited to any space-superiority role.
TEXT_TOOLTIP_X1,X1 was a force-sensitive clone trooper who served the Galactic Republic and later the Galactic Empire. After the death of the Emperor, he has formed his own Empire as a Sith Lord and has plans to take over the entire galaxy.
TEXT_TOOLTIP_X1_VIPER,The X-1 Viper was one of many formidable war droids designed by Balmorran Arms and which saw heavy use by the Dark Empire under the Reborn Palpatine. These bipedal walkers had an array of anti vehicle and anti infantry weapons including turbolasers at its disposal to destroy enemies while a strong shield protected it from return fire. Despite their iconic use in the service of the Dark Empire, their first battle was actually against the Dark Empire whilst protecting the world of Balmorra from the forces of the reborn Emperor.
TEXT_TOOLTIP_X1_VIPER_COMPANY,Company: 2x X-1 Viper
TEXT_TOOLTIP_X1_VIPER_HEALTH,Health: 200 (Medium Vehicle)
TEXT_TOOLTIP_X1_VIPER_MOVE,Speed: 1.25 | Turn: 4.0
TEXT_TOOLTIP_X1_VIPER_SHIELD,Shields: 50 / [5/R] (Heavy Vehicle)
TEXT_TOOLTIP_X1_VIPER_WEAP1,2x AV Turbolasers: 1 / 4.0s / 480m
TEXT_TOOLTIP_X1_VIPER_WEAP2,2x AV Blaster Cannons: 1 / 2.0s / 400m
TEXT_TOOLTIP_X1_VIPER_WEAP3,1x Concussion Grenade: 1 / 5.0s / 160m
TEXT_TOOLTIP_X10,A common sight in CSA territory as part of their desire to maintain a high profile crime prevention policy. The X10 Groundcruiser is a versatile repulsorcraft suited for patrols in dense urban areas. It has heavy armor, a powerful blaster cannon, and is very maneuverable.
TEXT_TOOLTIP_X10_COMPANY,Company: 6x X10 Groundcruiser
TEXT_TOOLTIP_X10_HEALTH,Health: 80 (Medium Vehicle)
TEXT_TOOLTIP_X10_MOVE,Speed: 4.0 | Turn: 4.0
TEXT_TOOLTIP_X10_WEAP1,1x Heavy AI Blaster Cannon: 3 / 2.0s / 240m
TEXT_TOOLTIP_X3_RESEARCH,Invest in mass-production of Sienar's testbed TIE X-3 model to replace the aging TIE Fighter on the Pentastar Alignment's ships.
TEXT_TOOLTIP_X4_GUNSHIP,The X4 was designed for the Rebel Alliance to serve as a raider and convoy escort, with excellent speed and anti-fighter weaponry. The rugged design shares many components with Incom fighters to simplify maintenance and logistics. This configuration packs a group of identical turrets for anti-fighter coverage.
TEXT_TOOLTIP_X4_GUNSHIP_GROUP,Group: 20x X4 Gunship
TEXT_TOOLTIP_X4_GUNSHIP_HULL,Hull: 120 (Gunship)
TEXT_TOOLTIP_X4_GUNSHIP_MOVE,Speed: 4.55 | Accel: 0.2 | Turn: 2.0
TEXT_TOOLTIP_X4_GUNSHIP_SHIELD,Shields: 120 / [2.7/R] (Gunship)
TEXT_TOOLTIP_X4_GUNSHIP_SQUADRON,Squadron: 4x X4 Gunship
TEXT_TOOLTIP_X4_GUNSHIP_WEAP1,6x Fighter Laser Cannons: 4 / 2.0s / 1.0km
TEXT_TOOLTIP_XANTUS,A lifelong military man, Xantus was the General of the stormtroopers garrisoned on Ord Radama. He reported directly to the planetary governor Ellor Orgraal who had enslaved and brutalised the native Devlikk population while running it as a near personal fief. Xantus kept secret from the governor that he actually took his orders from the Imperial Intelligence Service, the true masters of the Imperial forces on the world.
TEXT_TOOLTIP_XECR_NIST,One of Palpatine's Dark Side Adepts, Xecr Nist acted as one of the reborn Emperor's advisors. When Executor Sedriss was killed, Palpatine imbued Nist with the power of the dark side, naming Nist his new Executor. Nist would lead the members of the Dark Side Elite as Dark Side Squadron during the hunt for the Jedi and Leia Organa-Solo's children.
TEXT_TOOLTIP_XEXUS_SHEV,A skilled Colonel, albeit a poor disciplinarian, in charge of a garrison on Phaeda. Xexus Shev never actually liked the Empire; his service came after he was arrested for committing a petty crime, and he was given the choice between enlistment and being sent to the Kessel mines. On Phaeda he established a black market operation and took bribes to turn a blind eye to illegal activities.
TEXT_TOOLTIP_XQ5_SQUADRON,Fighters: 0.5 / 0.5 | Bombers: 1 / 1 | Corvettes: 1 / 0
TEXT_TOOLTIP_XUFUSH,The Tiss'shar leader of the Shadow Wing Pirates, Abin-Ral-Xufush roamed the Perlemian Trade Route for all the prey he could track. He especially attacked humans, though he welcomed human pirates into his fleet. All the takings of his raids were poured back into Shadow Wing, and it grew to a powerful flotilla that could threaten entire planets and earned a 300,000 credit bounty for its leader.
TEXT_TOOLTIP_XUFUSH_SQUADRON,Fighters: 2 / 0 | Bombers: 1 / 0
TEXT_TOOLTIP_Y_TIE,The Y-TIE was an 'Ugly' starfighter built by replacing the standard engines of a Y-wing starfighter with the radiator wings and engines of a standard TIE fighter. The laser cannons from the TIE replaced the ion cannons in the Y-wing's turret.
TEXT_TOOLTIP_YE_4,The Ye-4 Gunship was originally made by Sienar Fleet Systems for the purpose of protecting the Kessel system and the surrounding deep space and its effectiveness in this role would see it rapidly be used to defend other areas. Heavily armed with rotating and fixed guns which covered every single angle of approach, the gunship is a deadly opponent to all enemy small craft and fighters.
TEXT_TOOLTIP_YE_4_GROUP,Group: 20x Ye-4 Gunship
TEXT_TOOLTIP_YE_4_HULL,Hull: 140 (Gunship)
TEXT_TOOLTIP_YE_4_MOVE,Speed: 4.9 | Accel: 0.2 | Turn: 2.0
TEXT_TOOLTIP_YE_4_SHIELD,Shields: 100 / [2.5/R] (Gunship)
TEXT_TOOLTIP_YE_4_SQUADRON,Squadron: 4x Ye-4 Gunship
TEXT_TOOLTIP_YE_4_WEAP1,2x Heavy Fighter Laser Cannons: 4 / 2.0s / 2.0km
TEXT_TOOLTIP_YE_4_WEAP2,2x Fighter Laser Cannons: 4 / 2.0s / 2.0km
TEXT_TOOLTIP_YEVETHAN_SOLDIER,The common warriors of the Duskhan League, equipped well with looted and reverse engineered technology. They are willing and able to fight against enemy infantry and vehicles at the viceroy's command with zealous bloodlust.
TEXT_TOOLTIP_YEVETHAN_SOLDIER_COMPANY,Company: 50x Yevethan Soldier
TEXT_TOOLTIP_YEVETHAN_SOLDIER_COMPANY_WEAP1,40x Blaster Rifle: 1 / 1.0s / 240m
TEXT_TOOLTIP_YEVETHAN_SOLDIER_COMPANY_WEAP2,5x Heavy Repeating Blaster: 5 / 1.0s / 280m
TEXT_TOOLTIP_YEVETHAN_SOLDIER_COMPANY_WEAP3,5x Light AV Missile Launcher: 1 / 9.0s / 280m
TEXT_TOOLTIP_YEVETHAN_SOLDIER_COMPANY_WEAP4,10x Concussion Grenade: 1 / 15.0s / 200m
TEXT_TOOLTIP_YEVETHAN_SOLDIER_HEALTH,Health: 14 (Infantry)
TEXT_TOOLTIP_YEVETHAN_SOLDIER_LIEUTENANT_HEALTH,Health: 20 (Infantry)
TEXT_TOOLTIP_YEVETHAN_SOLDIER_MOVE,Speed: 1.0 
TEXT_TOOLTIP_YEVETHAN_SOLDIER_SERGEANT_HEALTH,Health: 17 (Infantry)
TEXT_TOOLTIP_YEVETHAN_SOLDIER_SQUAD,Squad: 10x Yevethan Soldier
TEXT_TOOLTIP_YEVETHAN_SOLDIER_SQUAD_WEAP1,8x Blaster Rifle: 1 / 1.0s / 240m
TEXT_TOOLTIP_YEVETHAN_SOLDIER_SQUAD_WEAP2,1x Heavy Repeating Blaster: 5 / 1.0s / 280m
TEXT_TOOLTIP_YEVETHAN_SOLDIER_SQUAD_WEAP3,1x Light AV Missile Launcher: 1 / 9.0s / 280m
TEXT_TOOLTIP_YEVETHAN_SOLDIER_SQUAD_WEAP4,2x Concussion Grenade: 1 / 15.0s / 200m
TEXT_TOOLTIP_YEVETHAN_SOLDIER_WEAP1,1x DXR6 Blaster Rifle: 1 / 1.0s / 240m
TEXT_TOOLTIP_YEVETHAN_SOLDIER_WEAP2,1x DLT-19 Repeating Blaster: 5 / 1.0s / 280m
TEXT_TOOLTIP_YEVETHAN_SOLDIER_WEAP3,1x MiniMag PTL Launcher: 1 / 9.0s / 320m
TEXT_TOOLTIP_YEVETHAN_SOLDIER_WEAP4,1x Concussion Grenade: 1 / 15.0s / 200m
